Default Unit of Measure,Item Code,Item Group,Item Name,Maintain Stock,Opening Stock,Brand,Shelf Life In Days,End of Life,Has Expiry Date,Barcode (Barcodes),Re-order Qty (Reorder level based on Warehouse),UOM (UOMs),Default Price List (Item Defaults)
Nos,20812,اكسسوارات,20812,1,0,,0,2099-12-31,0,8809700320812,,Nos,
Nos,20841,اكسسوارات,20841,1,0,,0,2099-12-31,0,6907240320841,,Nos,
Nos,20956,اكسسوارات,20956,1,0,,0,2099-12-31,0,6973911220956,,Nos,
Nos,2121,اكسسوارات,خواتم مع المحبس رزكون,1,0,,0,2099-12-31,0,212121,,Nos,
Nos,21212,اكسسوارات,21212,1,0,,0,2099-12-31,0,4000121212,,Nos,
Nos,21590,اكسسوارات,21590,1,0,,0,2099-12-31,0,721590,,Nos,
Nos,221B,اكسسوارات,221B,1,0,,0,2099-12-31,0,6971606202218,,Nos,
Nos,22338,اكسسوارات,22338,1,0,,0,2099-12-31,0,3353728522338,,Nos,
Nos,2244,اكسسوارات,2244,1,0,,0,2099-12-31,0,9005800352244,,Nos,
Nos,22878,اكسسوارات,اساور رجالي نسائي,1,0,,0,2099-12-31,0,8991283322878,,Nos,
Nos,23019,اكسسوارات,23019,1,0,,0,2099-12-31,0,6920138823019,,Nos,
Nos,23026,اكسسوارات,23026,1,0,,0,2099-12-31,0,6920138823026,,Nos,
Nos,233233,اكسسوارات,233233,1,0,,0,2099-12-31,0,111233233,,Nos,
Nos,23454,اكسسوارات,23454,1,0,,0,2099-12-31,0,6932025123454,,Nos,
Nos,24025,اكسسوارات,24025,1,0,,0,2099-12-31,0,6937803924025,,Nos,
Nos,244244,اكسسوارات,244244,1,0,,0,2099-12-31,0,111244244,,Nos,
Nos,24513,اكسسوارات,24513,1,0,,0,2099-12-31,0,3600531324513,,Nos,
Nos,24611,اكسسوارات,24611,1,0,,0,2099-12-31,0,072140024611,,Nos,
Nos,25092,اكسسوارات,25092,1,0,,0,2099-12-31,0,8652369925092,,Nos,
Nos,25146,اكسسوارات,25146,1,0,,0,2099-12-31,0,8652369925146,,Nos,
Nos,2520,اكسسوارات,2520,1,0,,0,2099-12-31,0,6882169872520,,Nos,
Nos,25351,اكسسوارات,25351,1,0,,0,2099-12-31,0,5632467125351,,Nos,
Nos,25560,اكسسوارات,علب سحاب مربع وسط,1,0,,0,2099-12-31,0,150055625560,,Nos,
Nos,25561,اكسسوارات,علب سحاب مربع كبير,1,0,,0,2099-12-31,0,150055625561,,Nos,
Nos,25562,اكسسوارات,علب سحاب اساور طويل,1,0,,0,2099-12-31,0,150055625562,,Nos,
Nos,25563,اكسسوارات,علب اساور طويل,1,0,,0,2099-12-31,0,150055625563,,Nos,
Nos,25564,اكسسوارات,علب خواتم مربع,1,0,,0,2099-12-31,0,150055625564,,Nos,
Nos,25565,اكسسوارات,علب خواتم قطيفة,1,0,,0,2099-12-31,0,150055625565,,Nos,
Nos,25566,اكسسوارات,علب طقوم وسط,1,0,,0,2099-12-31,0,150055625566,,Nos,
Nos,26-2862,اكسسوارات,26-2862,1,0,,0,2099-12-31,0,28622862,,Nos,
Nos,26-5569,اكسسوارات,26-5569,1,0,,0,2099-12-31,0,55695569,,Nos,
Nos,26-AF8808,اكسسوارات,26-AF8808,1,0,,0,2099-12-31,0,88088808,,Nos,
Nos,26-SDR-211,اكسسوارات,26-SDR-211,1,0,,0,2099-12-31,0,SDR211211,,Nos,
Nos,263,اكسسوارات,263,1,0,,0,2099-12-31,0,6933885500263,,Nos,
Nos,26411,اكسسوارات,26411,1,0,,0,2099-12-31,0,6287015126411,,Nos,
Nos,26677,اكسسوارات,كريم ستافيل,1,0,,0,2099-12-31,0,072140026677,,Nos,
Nos,2676,اكسسوارات,2676,1,0,,0,2099-12-31,0,011111022676,,Nos,
Nos,27066,اكسسوارات,27066,1,0,,0,2099-12-31,0,303160227066,,Nos,
Nos,272B,اكسسوارات,272B,1,0,,0,2099-12-31,0,1801025620025,,Nos,
Nos,28568,اكسسوارات,28568,1,0,,0,2099-12-31,0,6925832828568,,Nos,
Nos,28860,اكسسوارات,28860,1,0,,0,2099-12-31,0,6291108528860,,Nos,
Nos,3,اكسسوارات,cheese burger,1,0,,0,2099-12-31,0,735745699119,,Nos,
Nos,3007546,اكسسوارات,3007546,1,0,,0,2099-12-31,0,8904023007546,,Nos,
Nos,30148,اكسسوارات,30148,1,0,,0,2099-12-31,0,8901248230148,,Nos,
Nos,3045,اكسسوارات,3045,1,0,,0,2099-12-31,0,6940791023045,,Nos,
Nos,30706,اكسسوارات,30706,1,0,,0,2099-12-31,0,725272730706,,Nos,
Nos,30782,اكسسوارات,بوش مجموعة,1,0,,0,2099-12-31,0,6939374130782,,Nos,
Nos,309808,اكسسوارات,309808,1,0,,0,2099-12-31,0,7295322309808,,Nos,
Nos,309934,اكسسوارات,309934,1,0,,0,2099-12-31,0,6972907309934,,Nos,
Nos,3113,اكسسوارات,3113,1,0,,0,2099-12-31,0,100113113,,Nos,
Nos,31313,اكسسوارات,31313,1,0,,0,2099-12-31,0,4000131313,,Nos,
Nos,31545,اكسسوارات,سلوس بناتي دمعة,1,0,,0,2099-12-31,0,5456531545,,Nos,
Nos,31569,اكسسوارات,تيجان بناتي,1,0,,0,2099-12-31,0,6905001131569,,Nos,
Nos,31890,اكسسوارات,31890,1,0,,0,2099-12-31,0,6977892731890,,Nos,
Nos,33550,اكسسوارات,33550,1,0,,0,2099-12-31,0,8809640733550,,Nos,
Nos,34020,اكسسوارات,34020,1,0,,0,2099-12-31,0,6957601134020,,Nos,
Nos,34060,اكسسوارات,34060,1,0,,0,2099-12-31,0,769915234060,,Nos,
Nos,34218,اكسسوارات,34218,1,0,,0,2099-12-31,0,6932021134218,,Nos,
