Item Code,Item Name,Barcode,Brand,Supplier,Brand Source,Supplier Source
233233,233233,111233233,,,Not found in dump,No supplier rows in product_supplierinfo dump section
23454,23454,6932025123454,,,Not found in dump,No supplier rows in product_supplierinfo dump section
24025,24025,6937803924025,,,Not found in dump,No supplier rows in product_supplierinfo dump section
244244,244244,111244244,,,Not found in dump,No supplier rows in product_supplierinfo dump section
24513,24513,3600531324513,,,Not found in dump,No supplier rows in product_supplierinfo dump section
24611,24611,072140024611,,,Not found in dump,No supplier rows in product_supplierinfo dump section
25092,25092,8652369925092,,,Not found in dump,No supplier rows in product_supplierinfo dump section
25146,25146,8652369925146,,,Not found in dump,No supplier rows in product_supplierinfo dump section
2520,2520,6882169872520,,,Not found in dump,No supplier rows in product_supplierinfo dump section
25351,25351,5632467125351,,,Not found in dump,No supplier rows in product_supplierinfo dump section
25560,علب سحاب مربع وسط,150055625560,,,Not found in dump,No supplier rows in product_supplierinfo dump section
25561,علب سحاب مربع كبير,150055625561,,,Not found in dump,No supplier rows in product_supplierinfo dump section
25562,علب سحاب اساور طويل,150055625562,,,Not found in dump,No supplier rows in product_supplierinfo dump section
25563,علب اساور طويل,150055625563,,,Not found in dump,No supplier rows in product_supplierinfo dump section
25564,علب خواتم مربع,150055625564,,,Not found in dump,No supplier rows in product_supplierinfo dump section
25565,علب خواتم قطيفة,150055625565,,,Not found in dump,No supplier rows in product_supplierinfo dump section
25566,علب طقوم وسط,150055625566,,,Not found in dump,No supplier rows in product_supplierinfo dump section
26-2862,26-2862,28622862,,,Not found in dump,No supplier rows in product_supplierinfo dump section
26-5569,26-5569,55695569,,,Not found in dump,No supplier rows in product_supplierinfo dump section
26-AF8808,26-AF8808,88088808,,,Not found in dump,No supplier rows in product_supplierinfo dump section
26-SDR-211,26-SDR-211,SDR211211,,,Not found in dump,No supplier rows in product_supplierinfo dump section
263,263,6933885500263,,,Not found in dump,No supplier rows in product_supplierinfo dump section
26411,26411,6287015126411,,,Not found in dump,No supplier rows in product_supplierinfo dump section
26677,كريم ستافيل,072140026677,,,Not found in dump,No supplier rows in product_supplierinfo dump section
2676,2676,011111022676,,,Not found in dump,No supplier rows in product_supplierinfo dump section
27066,27066,303160227066,,,Not found in dump,No supplier rows in product_supplierinfo dump section
272B,272B,1801025620025,,,Not found in dump,No supplier rows in product_supplierinfo dump section
28568,28568,6925832828568,,,Not found in dump,No supplier rows in product_supplierinfo dump section
28860,28860,6291108528860,,,Not found in dump,No supplier rows in product_supplierinfo dump section
3,cheese burger,735745699119,,,Not found in dump,No supplier rows in product_supplierinfo dump section
3007546,3007546,8904023007546,,,Not found in dump,No supplier rows in product_supplierinfo dump section
30148,30148,8901248230148,,,Not found in dump,No supplier rows in product_supplierinfo dump section
3045,3045,6940791023045,,,Not found in dump,No supplier rows in product_supplierinfo dump section
30706,30706,725272730706,,,Not found in dump,No supplier rows in product_supplierinfo dump section
30782,بوش مجموعة,6939374130782,,,Not found in dump,No supplier rows in product_supplierinfo dump section
309808,309808,7295322309808,,,Not found in dump,No supplier rows in product_supplierinfo dump section
309934,309934,6972907309934,,,Not found in dump,No supplier rows in product_supplierinfo dump section
3113,3113,100113113,,,Not found in dump,No supplier rows in product_supplierinfo dump section
31313,31313,4000131313,,,Not found in dump,No supplier rows in product_supplierinfo dump section
31545,سلوس بناتي دمعة,5456531545,,,Not found in dump,No supplier rows in product_supplierinfo dump section
31569,تيجان بناتي,6905001131569,,,Not found in dump,No supplier rows in product_supplierinfo dump section
31890,31890,6977892731890,,,Not found in dump,No supplier rows in product_supplierinfo dump section
33550,33550,8809640733550,,,Not found in dump,No supplier rows in product_supplierinfo dump section
34020,34020,6957601134020,,,Not found in dump,No supplier rows in product_supplierinfo dump section
34060,34060,769915234060,,,Not found in dump,No supplier rows in product_supplierinfo dump section
34218,34218,6932021134218,,,Not found in dump,No supplier rows in product_supplierinfo dump section
3434,سلوس فايتي كليف,343434,فايتي,,Inferred from item name,No supplier rows in product_supplierinfo dump section
34919,34919,7702018334919,,,Not found in dump,No supplier rows in product_supplierinfo dump section
350590,روج  سائل 330411,6977270350590,,,Not found in dump,No supplier rows in product_supplierinfo dump section
35306,35306,6281056335306,,,Not found in dump,No supplier rows in product_supplierinfo dump section
3709,3709,3401578653709,,,Not found in dump,No supplier rows in product_supplierinfo dump section
37101,37101,6291108737101,,,Not found in dump,No supplier rows in product_supplierinfo dump section
37190,37190,8809640737190,,,Not found in dump,No supplier rows in product_supplierinfo dump section
3737,اساور مسمار,373737,,,Not found in dump,No supplier rows in product_supplierinfo dump section
37897,37897,6291108737897,,,Not found in dump,No supplier rows in product_supplierinfo dump section
3817,3817,PB2501010203817,,,Not found in dump,No supplier rows in product_supplierinfo dump section
38405,38405,6291108738405,,,Not found in dump,No supplier rows in product_supplierinfo dump section
38436,38436,6291108738436,,,Not found in dump,No supplier rows in product_supplierinfo dump section
38573,38573,6291108738573,,,Not found in dump,No supplier rows in product_supplierinfo dump section
38597,38597,6291108738597,,,Not found in dump,No supplier rows in product_supplierinfo dump section
38610,38610,6291108738610,,,Not found in dump,No supplier rows in product_supplierinfo dump section
38849,38849,6291108738849,,,Not found in dump,No supplier rows in product_supplierinfo dump section
38877,38877,138877,,,Not found in dump,No supplier rows in product_supplierinfo dump section
39068,39068,6291108739068,,,Not found in dump,No supplier rows in product_supplierinfo dump section
39523,39523,6922211339523,,,Not found in dump,No supplier rows in product_supplierinfo dump section
39570,39570,8809596939570,,,Not found in dump,No supplier rows in product_supplierinfo dump section
39615,39615,6922211339615,,,Not found in dump,No supplier rows in product_supplierinfo dump section
400101,قطب كرت نيو مارك,6906036400101,,,Not found in dump,No supplier rows in product_supplierinfo dump section
40061,40061,9551001840061,,,Not found in dump,No supplier rows in product_supplierinfo dump section
401184,401184,8310039401184,,,Not found in dump,No supplier rows in product_supplierinfo dump section
40313,40313,010181040313,,,Not found in dump,No supplier rows in product_supplierinfo dump section
40358,اقلام ديموند 9244,6977925340358,,,Not found in dump,No supplier rows in product_supplierinfo dump section
40390,40390,8901248240390,,,Not found in dump,No supplier rows in product_supplierinfo dump section
40400,40400,6971335440400,,,Not found in dump,No supplier rows in product_supplierinfo dump section
40421,40421,3401348840421,,,Not found in dump,No supplier rows in product_supplierinfo dump section
40831,40831,6974479440831,,,Not found in dump,No supplier rows in product_supplierinfo dump section
4091,4091,40914091,,,Not found in dump,No supplier rows in product_supplierinfo dump section
4114,4114,100114114,,,Not found in dump,No supplier rows in product_supplierinfo dump section
4119,اسفنج مائي,4820230804119,,,Not found in dump,No supplier rows in product_supplierinfo dump section
41278,41278,3600530941278,,,Not found in dump,No supplier rows in product_supplierinfo dump section
41414,41414,4000141414,,,Not found in dump,No supplier rows in product_supplierinfo dump section
41414,قطب كرز,5000141414,,,Not found in dump,No supplier rows in product_supplierinfo dump section
41451,41451,6920511341451,,,Not found in dump,No supplier rows in product_supplierinfo dump section
41456,41456,052336341456,,,Not found in dump,No supplier rows in product_supplierinfo dump section
43213,43213,743213,,,Not found in dump,No supplier rows in product_supplierinfo dump section
43558,لمعه جسم فازلين,305210043558,,,Not found in dump,No supplier rows in product_supplierinfo dump section
43788,43788,6920251543788,,,Not found in dump,No supplier rows in product_supplierinfo dump section
43825,43825,6920251543825,,,Not found in dump,No supplier rows in product_supplierinfo dump section
43863,43863,6920251543863,,,Not found in dump,No supplier rows in product_supplierinfo dump section
43930,43930,6930381543930,,,Not found in dump,No supplier rows in product_supplierinfo dump section
44277,44277,0376662844277,,,Not found in dump,No supplier rows in product_supplierinfo dump section
447447,كلبس كرز,447447447,,,Not found in dump,No supplier rows in product_supplierinfo dump section
45617,45617,7509552845617,,,Not found in dump,No supplier rows in product_supplierinfo dump section
46122,46122,6974772946122,,,Not found in dump,No supplier rows in product_supplierinfo dump section
46134,اقلام كحل عريض ابيض+ازرق,6920982846134,,,Not found in dump,No supplier rows in product_supplierinfo dump section
4646,4646,464646,,,Not found in dump,No supplier rows in product_supplierinfo dump section
4653,4653,011111054653,,,Not found in dump,No supplier rows in product_supplierinfo dump section
4705,4705,033200194705,,,Not found in dump,No supplier rows in product_supplierinfo dump section
4747,4747,474747,,,Not found in dump,No supplier rows in product_supplierinfo dump section
47535,47535,6977740247535,,,Not found in dump,No supplier rows in product_supplierinfo dump section
478021,478021,8901248478021,,,Not found in dump,No supplier rows in product_supplierinfo dump section
4848,4848,484848,,,Not found in dump,No supplier rows in product_supplierinfo dump section
48538,48538,6903645548538,,,Not found in dump,No supplier rows in product_supplierinfo dump section
49280,49280,4928049280,,,Not found in dump,No supplier rows in product_supplierinfo dump section
4949,4949,494949,,,Not found in dump,No supplier rows in product_supplierinfo dump section
500081,500081,6294007500081,,,Not found in dump,No supplier rows in product_supplierinfo dump section
500142,500142,6294007500142,,,Not found in dump,No supplier rows in product_supplierinfo dump section
5009695,5009695,9853415009695,,,Not found in dump,No supplier rows in product_supplierinfo dump section
501316,501316,6294007501316,,,Not found in dump,No supplier rows in product_supplierinfo dump section
501323,501323,6294007501323,,,Not found in dump,No supplier rows in product_supplierinfo dump section
