Item Code,Item Name,Raw Barcode,Clean Barcode,Changed
721592,721592,3783284477894,3783284477894,0
740404,740404,0863765019720,0863765019720,0
741442,741442,9808036205380,9808036205380,0
741489,741489,9975507493062,9975507493062,0
741501,741501,7529067516208,7529067516208,0
741975,741975,5726738519106,5726738519106,0
741983,741983,7560980367263,7560980367263,0
742024,742024,4795293571059,4795293571059,0
742028,742028,1265128591369,1265128591369,0
742226,742226,9055740299062,9055740299062,0
742579,742579,7923884103502,7923884103502,0
742786,742786,3035411949676,3035411949676,0
742851,742851,3497910689208,3497910689208,0
742896,742896,6072988649711,6072988649711,0
742904,742904,7997910438715,7997910438715,0
742954,742954,6497698312876,6497698312876,0
743066,743066,3591919882360,3591919882360,0
743070,743070,4853792486035,4853792486035,0
743489,743489,6725487120396,6725487120396,0
743565,743565,743565-2,743565,1
743600,743600,743600-2,743600,1
743606,743606,7176209262822,7176209262822,0
743622,743622,9160060587857,9160060587857,0
744107,744107,7279031986079,7279031986079,0
750710,750710,3149990212653,3149990212653,0
750711,750711,8374528204878,8374528204878,0
750712,750712,1157508895719,1157508895719,0
750713,750713,9934886693616,9934886693616,0
750714,750714,7543289076746,7543289076746,0
77092,77092,3401399277092,3401399277092,0
77454,اقلام كحل اسود طلعة,8948490577454,8948490577454,0
78236,78236,8901248478236,8901248478236,0
78252,78252,6935356578252,6935356578252,0
78813,78813,6912316178813,6912316178813,0
790778,790778,6901790778022,6901790778022,0
790794,790794,5671382752044,5671382752044,0
790800,790800,9371005778074,9371005778074,0
791052,791052,6920257910522,6920257910522,0
791067,791067,6920257910676,6920257910676,0
791097,791097,6920257910973,6920257910973,0
80088,80088,7160934480088,7160934480088,0
809129,809129,6930274809129,6930274809129,0
8118,8118,100118118,100118118,0
81818,81818,4000181818,4000181818,0
81818,81818,5000181818,5000181818,0
81947,81947,8999999581947,8999999581947,0
82518,82518,6935356582518,6935356582518,0
83232,83232,6971204783232,6971204783232,0
83919,83919,6925213883919,6925213883919,0
8407,8407,8809426813865,8809426813865,0
84072,84072,6041216184072,6041216184072,0
84128,مصحح حواجب أبو جهة,6933495884128,6933495884128,0
84535,84535,772618084535,772618084535,0
84810,84810,6970873984810,6970873984810,0
850038,850038,6972497850038,6972497850038,0
85476,85476,6922965185476,6922965185476,0
8555,8555,5558888555,5558888555,0
86886,سلوس بناتي,886886886,886886886,0
87230,87230,7702018587230,7702018587230,0
87307,87307,5060518887307,5060518887307,0
87621,87621,6912191387621,6912191387621,0
88015,88015,6925261388015,6925261388015,0
88128,88128,6900001388128,6900001388128,0
88289,88289,6900001388289,6900001388289,0
88422,88422,6912311388422,6912311388422,0
90311,90311,769915190311,769915190311,0
90356,90356,6971260890356,6971260890356,0
90670,90670,769915190670,769915190670,0
90715,90715,6922965190715,6922965190715,0
90784,90784,6922965190784,6922965190784,0
91000,91000,6970975191000,6970975191000,0
9119,9119,100119119,100119119,0
91230,91230,033200191230,033200191230,0
91877,روج سائل 2113,3194500091877,3194500091877,0
91919,91919,4000191919,4000191919,0
9281,9281,8999777009281,8999777009281,0
93583,93583,4550516493583,4550516493583,0
93831,93831,8809305993831,8809305993831,0
94026,94026,3600523494026,3600523494026,0
94138,94138,9767013694138,9767013694138,0
950777999799,950777999799,9507779997992,9507779997992,0
95214,95214,040232095214,040232095214,0
95776,95776,3506822095776,3506822095776,0
96161,96161,6922446096161,6922446096161,0
96565,جلوس جف جيرل 2093,03097187,03097187,0
97180,97180,3337875597180,3337875597180,0
97388,كريم سرافي 454ملي,3337875597388,3337875597388,0
9801,9801,6920250649801,6920250649801,0
9997991,9997991,9507779997991,9507779997991,0
AS-3215,AS-3215,32153215,32153215,0
AS-4520-2,AS-4520-2,4520245202,4520245202,0
AS-4932,AS-4932,49324932,49324932,0
AS-5046,AS-5046,50465046,50465046,0
AS-513513,AS-513513,513513513,513513513,0
AS-5348,AS-5348,53485348,53485348,0
AS-5349,AS-5349,125125125,125125125,0
AS-552552,كواسر كبير,552552552,552552552,0
AS-554554,ابيام فراشات,554554554,554554554,0
AS-5654,AS-5654,56545654,56545654,0
B22939,B22939,B293998,B293998,0
B292217,B292217,B292217,B292217,0
B2935,B2935,B293561,B293561,0
B293583,B293583,B293583,B293583,0
B293602,B293602,B293602,B293602,0
B29364,B29364,B293641,B293641,0
B293653,B293653,B293653,B293653,0
B2937,B2937,B293719,B293719,0
B29371,B29371,B293717,B293717,0
B2939,B2939,B293996,B293996,0
B29390,B29390,B293907,B293907,0
B29398,B29398,B293985,B293985,0
BHS546,سلس مع الحلق,5934782049191,5934782049191,0
COMM,Communication,,,0
EXP_GEN,Expenses,,,0
FOOD,Meals,,,0
GIFT,Gifts,,,0
MIL,Mileage,,,0
PH-272,PH-272,6971606202720,6971606202720,0
S160005,S160005,ٍ160005,160005,1
S160008,S160008,ٍ160008,160008,1
S160016,S160016,ٍ160016,160016,1
S210301,اسبورات نسائيه م36-41 (شد 24),6900212103015,6900212103015,0
S210305,اسبورات نسائيه م36-41ش24,6900212103053,6900212103053,0
S210307,اسبوات نسائيه م36-41ش24,6900212103077,6900212103077,0
S210313,سبورات نسائيه م36-41ش24,6900212103138,6900212103138,0
S210315,اسبورات نسائي م 36-41ش24,6900212103152,6900212103152,0
SQ9235,ميداليات دبدوب,6688892350003,6688892350003,0
TIPS,Tips,,,0
TRANS & ACC,Travel & Accommodation,,,0
145145,قطب مطلي رملي,145145145,145145145,0
5286415,تيجان كرستال,52864154,52864154,0
5286416,تيجان كرستال عرائسي,52864164,52864164,0
6161,كفوف مطلي,616161,616161,0
6969,طقوم مطلي فرفشة,696969,696969,0
7070,كماشات كرستال,707070,707070,0
AS-221221,تيجان متحرك زركون,221221221,221221221,0
12288,اظافر كلاسك كلر 5637,8955155122881,8955155122881,0
24576,اظافر كلاسك كلر 576,8955155245764,8955155245764,0
250917,اظافر صناعي بيوتي 5717,6973926409179,6973926409179,0
41612,اظافر صناعي 5613,6907725041612,6907725041612,0
5640,اظافر صناعي علبة سداسي,56405640,56405640,0
6096,اظافر شجلام,6904587606096,6904587606096,0
75255,غراء اظافر,6997524675255,6997524675255,0
575742,امصار شعر,5757525,5757525,0
155155,حبال مائي,11155155,11155155,0
5245,حبال مائي الأصلي,2145215245,2145215245,0
2020,خواتم استيل فص ملون,202020,202020,0
10554,خواتم زركون اصلي2,110110445,110110445,0
1342,خواتم زركون اصلي1,1101110446,1101110446,0
